Mode,Wn,Mol%,Sur%,Mix%
1,34.1375,41.87256176853056,34.330299089726914,23.797139141742523
2,36.1098,14.267015706806284,6.9371727748691105,78.79581151832461
3,51.0604,21.401273885350324,17.834394904458602,60.76433121019108
4,73.6132,19.02497027348395,53.86444708680143,27.11058263971462
5,78.4098,38.97882938978829,21.295143212951437,39.72602739726028
6,91.7797,33.87909319899245,37.90931989924432,28.211586901763226
7,95.8287,31.61856963613551,56.336260978670005,12.04516938519448
8,121.3294,26.566416040100258,23.182957393483715,50.25062656641603
9,128.0521,31.7966903073286,46.92671394799054,21.27659574468085
10,135.7887,8.79120879120879,81.19658119658119,10.012210012210012
11,140.1994,56.68711656441717,19.509202453987736,23.803680981595097
12,146.0762,14.564220183486238,73.50917431192661,11.926605504587156
13,156.218,21.470245040840144,64.76079346557759,13.768961493582259
14,160.0405,54.556803995006234,19.600499375780274,25.842696629213485
15,201.0976,63.797468354430364,1.5189873417721522,34.68354430379748
16,224.8052,56.28342245989303,3.877005347593583,39.83957219251337
17,235.944,5.218446601941747,83.00970873786407,11.771844660194175
18,242.1953,3.2594524119947845,76.53194263363756,20.20860495436766
19,256.1823,1.7971758664955082,84.59563543003851,13.607188703465988
20,256.3325,3.9948453608247445,81.95876288659794,14.046391752577332
21,281.3781,23.73595505617979,57.30337078651683,18.960674157303377
22,282.2818,69.49404761904762,5.357142857142857,25.14880952380953
23,285.5666,27.972027972027973,54.96503496503497,17.062937062937067
24,309.786,1.7632241813602016,90.6801007556675,7.556675062972292
25,311.7774,0.7604562737642585,91.12801013941699,8.111533586818759
26,319.3411,2.3312883435582843,90.06134969325153,7.607361963190192
27,325.923,60.74879227053138,13.88888888888889,25.362318840579718
28,334.3741,10.909090909090915,79.74025974025973,9.350649350649356
29,335.6705,0.0,91.40722291407222,8.592777085927771
30,340.0107,0.0,91.56908665105387,8.430913348946131
31,341.533,7.907542579075429,76.27737226277372,15.81508515815086
32,359.7033,0.5102040816326532,90.05102040816327,9.438775510204081
33,392.2757,0.3937007874015747,95.27559055118111,4.330708661417322
34,392.6207,0.3773584905660379,90.44025157232704,9.182389937106922
35,400.6277,80.85381630012935,0.0,19.146183699870644
36,403.1977,2.239789196310936,88.14229249011858,9.617918313570488
37,410.575,0.5398110661268555,92.03778677462887,7.422402159244262
38,414.947,26.123595505617995,63.20224719101122,10.674157303370789
39,416.0958,72.83018867924528,0.3773584905660377,26.79245283018868
40,428.9749,0.40760869565217417,92.93478260869564,6.657608695652178
41,449.0413,87.42921857304644,0.0,12.570781426953571
42,466.7056,90.34883720930232,0.0,9.651162790697677
43,477.8997,87.73584905660377,0.0,12.264150943396228
44,509.7039,69.34131736526946,0.0,30.658682634730532
45,538.1888,0.4889975550122249,92.1760391198044,7.334963325183374
46,542.8134,0.0,95.47079856972587,4.529201430274136
47,545.3844,0.0,91.58986175115207,8.41013824884793
48,559.3586,77.22646310432569,4.961832061068703,17.811704834605603
49,581.0111,99.63235294117646,0.0,0.3676470588235295
50,588.4465,0.0,92.75053304904051,7.249466950959492
51,608.9906,0.0,93.54120267260579,6.458797327394214
52,613.8521,8.260325406758447,78.3479349186483,13.391739674593245
53,618.9324,47.347994825355755,23.415265200517457,29.236739974126774
54,651.7175,0.0,90.00000000000001,9.999999999999998
55,651.9519,0.0,89.8136645962733,10.186335403726705
56,660.6819,66.28407460545192,17.64705882352942,16.068866571018656
57,661.6342,11.295180722891565,81.92771084337349,6.77710843373494
58,666.0369,3.757225433526012,82.3699421965318,13.872832369942197
59,666.7417,0.0,93.12101910828024,6.878980891719746
60,670.121,0.0,90.76923076923076,9.230769230769235
61,682.6991,0.0,94.08482142857143,5.91517857142857
62,726.5292,93.52601156069365,0.0,6.473988439306357
63,740.6149,0.0,82.7720207253886,17.227979274611396
64,743.3081,9.419354838709676,89.03225806451614,1.5483870967741933
65,749.4601,94.4372574385511,0.0,5.562742561448901
66,757.4202,95.41176470588235,0.0,4.588235294117645
67,781.2314,92.82178217821782,0.0,7.17821782178218
68,792.791,4.523809523809524,86.07142857142857,9.404761904761907
69,797.3603,78.02325581395348,0.0,21.976744186046513
70,803.0421,89.64732650739477,0.0,10.352673492605236
71,817.9445,90.26345933562429,0.0,9.736540664375715
72,853.7804,4.353083434099152,86.09431680773882,9.552599758162028
73,879.112,0.0,82.20640569395017,17.793594306049823
74,885.1967,9.578544061302685,87.35632183908046,3.0651340996168583
75,892.9628,20.656136087484814,69.62332928311056,9.720534629404618
76,895.9536,89.71848225214197,6.9767441860465125,3.3047735618115053
77,900.0325,31.203931203931205,68.42751842751842,0.36855036855036855
78,902.4858,94.43127962085308,4.028436018957347,1.540284360189574
79,905.3703,33.12958435207824,65.15892420537898,1.7114914425427878
80,914.8707,53.84615384615386,45.79326923076923,0.36057692307692313
81,932.8348,34.55233291298865,60.5296343001261,4.918032786885247
82,949.9429,64.37718277066357,0.0,35.62281722933644
83,977.676,96.96601941747572,0.0,3.033980582524272
84,987.8487,100.0,0.0,0.0
85,1009.2209,5.8411214953271005,87.7336448598131,6.425233644859812
86,1014.3692,97.18482252141983,0.0,2.8151774785801718
87,1025.3468,96.42857142857143,0.0,3.5714285714285707
88,1028.3721,82.67441860465115,0.0,17.32558139534884
89,1054.975,97.27891156462584,0.0,2.7210884353741496
90,1086.9346,99.51865222623346,0.0,0.48134777376654625
91,1099.5768,86.66666666666666,0.0,13.33333333333334
92,1109.1434,73.6723163841808,0.0,26.327683615819208
93,1133.5858,83.21917808219177,0.0,16.780821917808222
94,1139.261,0.0,93.62745098039215,6.372549019607843
95,1140.4197,0.0,92.55702280912365,7.44297719087635
96,1162.8855,86.62857142857142,0.0,13.37142857142857
97,1189.2508,90.27777777777777,0.0,9.722222222222223
98,1199.8163,94.04900816802801,0.0,5.9509918319719946
99,1220.8697,67.07865168539325,0.0,32.92134831460675
100,1253.4597,81.55784650630011,0.4581901489117984,17.983963344788087
101,1261.1565,57.239512855209746,15.967523680649533,26.792963464140726
102,1267.1378,48.86515353805071,24.83311081441924,26.301735647530048
103,1268.416,48.366834170854254,3.517587939698493,48.11557788944725
104,1270.4833,29.346485819975356,43.40320591861897,27.250308261405674
105,1327.2548,74.64788732394366,0.0,25.352112676056343
106,1330.977,70.45191193511008,0.0,29.548088064889917
107,1344.4361,71.98124267291908,0.46893317702227444,27.549824150058626
108,1353.7603,6.150061500615008,80.56580565805658,13.284132841328415
109,1363.9723,1.8656716417910448,95.77114427860695,2.3631840796019903
110,1367.6683,70.57416267942585,3.349282296650717,26.07655502392344
111,1370.8336,30.97560975609757,51.95121951219511,17.073170731707314
112,1391.3389,59.69267139479905,0.0,40.30732860520096
113,1404.361,62.69005847953215,7.2514619883040945,30.058479532163748
114,1406.5579,21.80851063829788,68.61702127659574,9.574468085106385
115,1414.6988,3.3613445378151248,87.875150060024,8.763505402160861
116,1417.9541,0.0,90.0709219858156,9.929078014184395
117,1445.1666,61.94690265486725,0.0,38.05309734513275
118,1451.7288,57.541899441340796,0.0,42.45810055865922
119,1462.4211,94.71910112359551,0.0,5.2808988764044935
120,1473.5086,85.71428571428572,0.0,14.28571428571429
121,1508.9325,93.0022573363431,0.0,6.997742663656879
122,1538.395,92.47434435575828,0.0,7.525655644241732
123,1573.089,87.5746714456392,1.3142174432497014,11.111111111111112
124,1589.3824,0.72463768115942,90.09661835748791,9.178743961352655
125,1590.5881,8.114558472553702,87.94749403341287,3.937947494033414
126,1618.3986,92.07100591715975,0.0,7.928994082840235
127,1628.6605,95.58823529411765,0.0,4.411764705882353
128,1675.5204,93.32509270704574,4.326328800988874,2.3485784919653887
129,1691.2631,75.46012269938649,21.840490797546018,2.699386503067485
130,1698.7065,37.13942307692308,57.692307692307686,5.168269230769231
131,1702.7751,11.67076167076167,85.995085995086,2.334152334152334
132,1708.0411,13.93939393939394,80.24242424242424,5.818181818181816
133,3090.7553,94.70899470899471,0.0,5.291005291005293
134,3137.9219,51.73137460650576,0.0,48.268625393494226
135,3187.1657,93.07036247334754,0.0,6.929637526652449
136,3208.9661,56.75392670157068,0.0,43.246073298429316
137,3241.4906,100.0,0.0,0.0
138,3246.8725,100.0,0.0,0.0
139,3247.2081,100.0,0.0,0.0
140,3255.5236,100.0,0.0,0.0
141,3256.9186,100.0,0.0,0.0
142,3259.2313,100.0,0.0,0.0
143,3262.0558,100.0,0.0,0.0
144,3265.758,100.0,0.0,0.0
